surface_necrosee;colonne;oiv;necrose;taille_necrose;ligne;sporulation;image_name;sheet;experiment;densite_sporulation
;1;3;0;;a;1;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;5
;1;3;0;;b;1;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;5
;1;3;0;;c;1;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;5
;2;3;0;;a;1;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;5
;2;3;0;;b;1;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;5
;2;3;0;;c;1;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;5
;3;7;0;;a;1;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;7
;3;7;0;;b;1;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;7
;3;7;0;;c;1;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;7
7;4;9;1;7;a;0;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;
7;4;9;1;7;b;0;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;
7;4;7;1;7;c;1;Exp18DM05_inoc1_T4_P01;4dpi;Exp18DM05_saisie;9
9;1;9;1;9;a;0;Exp18DM05_inoc1_T4_P02;4dpi;Exp18DM05_saisie;
9;1;9;1;9;b;0;Exp18DM05_inoc1_T4_P02;4dpi;Exp18DM05_saisie;
9;1;9;1;9;c;0;Exp18DM05_inoc1_T4_P02;4dpi;Exp18DM05_saisie;
5;2;9;1;7;a;0;Exp18DM05_inoc1_T4_P02;4dpi;Exp18DM05_saisie;
5;2;9;1;7;b;0;Exp18DM05_inoc1_T4_P02;4dpi;Exp18DM05_saisie;
5;2;9;1;7;c;0;Exp18DM05_inoc1_T4_P02;4dpi;Exp18DM05_saisie;
7;3;7;1;5;a;1;Exp18DM05_inoc1_T4_P02;4dpi;Exp18DM05_saisie;7
7;3;7;1;5;b;1;Exp18DM05_inoc1_T4_P02;4dpi;Exp18DM05_saisie;7
7;3;7;1;5;c;1;Exp18DM05_inoc1_T4_P02;4dpi;Exp18DM05_saisie;7
9;1;5;1;5;a;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;7
9;1;5;1;5;b;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;7
9;1;5;1;5;c;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;7
;2;3;0;;a;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;3
;2;3;0;;b;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;3
;2;3;0;;c;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;3
;3;3;0;;a;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;3
;3;5;0;;b;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;3
;3;5;0;;c;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;3
9;4;5;1;7;a;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;7
9;4;5;1;7;b;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;7
9;4;5;1;7;c;1;Exp18DM05_inoc1_T4_P03;4dpi;Exp18DM05_saisie;7
9;1;9;1;7;a;0;Exp18DM05_inoc1_T4_P04;4dpi;Exp18DM05_saisie;
9;1;9;1;7;b;0;Exp18DM05_inoc1_T4_P04;4dpi;Exp18DM05_saisie;
9;1;9;1;9;c;0;Exp18DM05_inoc1_T4_P04;4dpi;Exp18DM05_saisie;
9;2;9;1;9;a;0;Exp18DM05_inoc1_T4_P04;4dpi;Exp18DM05_saisie;
9;2;9;1;9;b;0;Exp18DM05_inoc1_T4_P04;4dpi;Exp18DM05_saisie;
9;2;9;1;9;c;0;Exp18DM05_inoc1_T4_P04;4dpi;Exp18DM05_saisie;
7;3;7;1;7;a;1;Exp18DM05_inoc1_T4_P04;4dpi;Exp18DM05_saisie;9
7;3;7;1;7;b;1;Exp18DM05_inoc1_T4_P04;4dpi;Exp18DM05_saisie;9
7;3;7;1;7;c;1;Exp18DM05_inoc1_T4_P04;4dpi;Exp18DM05_saisie;9
7;1;7;1;5;a;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;9
7;1;7;1;5;b;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;9
7;1;7;1;5;c;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;9
;2;5;0;;a;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;7
;2;5;0;;b;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;7
;2;5;0;;c;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;5
;3;3;0;;a;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;3
;3;5;0;;b;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;3
;3;3;0;;c;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;3
;4;5;0;;a;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;3
;4;5;0;;b;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;3
;4;5;0;;c;1;Exp18DM05_inoc1_T4_P05;4dpi;Exp18DM05_saisie;3
;1;7;0;;a;1;Exp18DM05_inoc1_T4_P06;4dpi;Exp18DM05_saisie;9
;1;7;0;;b;1;Exp18DM05_inoc1_T4_P06;4dpi;Exp18DM05_saisie;5
;1;7;0;;c;1;Exp18DM05_inoc1_T4_P06;4dpi;Exp18DM05_saisie;9
9;2;9;1;7;a;0;Exp18DM05_inoc1_T4_P06;4dpi;Exp18DM05_saisie;
9;2;9;1;7;b;0;Exp18DM05_inoc1_T4_P06;4dpi;Exp18DM05_saisie;
9;2;9;1;7;c;0;Exp18DM05_inoc1_T4_P06;4dpi;Exp18DM05_saisie;
7;3;9;1;9;a;0;Exp18DM05_inoc1_T4_P06;4dpi;Exp18DM05_saisie;
7;3;9;1;9;b;0;Exp18DM05_inoc1_T4_P06;4dpi;Exp18DM05_saisie;
7;3;9;1;9;c;0;Exp18DM05_inoc1_T4_P06;4dpi;Exp18DM05_saisie;
;1;5;0;;a;1;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;5
3;1;5;1;3;b;1;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;7
;1;3;0;;c;1;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;3
;2;7;0;;a;1;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;9
;2;5;0;;b;1;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;5
5;2;5;1;1;c;1;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;7
5;3;7;1;5;a;1;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;9
5;3;5;1;3;b;1;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;5
9;3;9;1;9;c;0;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;
9;4;7;1;7;a;1;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;9
;4;3;0;;b;1;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;5
;4;5;0;;c;1;Exp18DM05_inoc1_T4_P25;4dpi;Exp18DM05_saisie;5
;1;7;0;;a;1;Exp18DM05_inoc1_T4_P26;4dpi;Exp18DM05_saisie;7
;1;3;0;;b;1;Exp18DM05_inoc1_T4_P26;4dpi;Exp18DM05_saisie;3
;1;7;0;;c;1;Exp18DM05_inoc1_T4_P26;4dpi;Exp18DM05_saisie;7
;2;7;0;;a;1;Exp18DM05_inoc1_T4_P26;4dpi;Exp18DM05_saisie;7
7;2;7;1;7;b;1;Exp18DM05_inoc1_T4_P26;4dpi;Exp18DM05_saisie;9
7;2;9;1;7;c;0;Exp18DM05_inoc1_T4_P26;4dpi;Exp18DM05_saisie;
5;3;5;1;5;c;1;Exp18DM05_inoc1_T4_P26;4dpi;Exp18DM05_saisie;5
5;4;5;1;3;a;1;Exp18DM05_inoc1_T4_P26;4dpi;Exp18DM05_saisie;5
9;4;9;1;9;b;0;Exp18DM05_inoc1_T4_P26;4dpi;Exp18DM05_saisie;
;4;9;0;;c;0;Exp18DM05_inoc1_T4_P26;4dpi;Exp18DM05_saisie;
;1;7;0;;a;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;9
;1;3;0;;b;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;3
5;1;5;1;3;c;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;5
;2;3;0;;a;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;1
3;2;5;1;3;b;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;5
;2;5;0;;c;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;5
;3;5;0;;a;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;5
9;3;7;1;9;b;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;9
;3;5;0;;c;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;5
;4;3;0;;a;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;3
;4;3;0;;b;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;5
;4;7;0;;c;1;Exp18DM05_inoc1_T4_P27;4dpi;Exp18DM05_saisie;9
5;1;3;1;1;a;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;5
;1;7;0;;b;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;7
;1;3;0;;c;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;5
;2;5;0;;a;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;5
;2;3;0;;b;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;3
5;2;7;1;5;c;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;9
3;3;3;1;1;a;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;5
7;3;7;1;7;b;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;9
;3;3;0;;c;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;3
;4;3;0;;a;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;1
;4;3;0;;b;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;3
9;4;7;1;9;c;1;Exp18DM05_inoc1_T4_P28;4dpi;Exp18DM05_saisie;9
;1;3;0;;a;1;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;5
5;1;9;1;5;b;0;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;
;1;7;0;;c;1;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;9
7;2;7;1;7;a;1;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;9
