file;sheet;comment
Exp18DM05_saisie.xlsx;Exp18D_saisie_t1;Corrupted dataframe, failed to retrieve photos
Exp18DM05_saisie.xlsx;Exp18DM05_saisie_t2;Corrupted dataframe, failed to retrieve photos
Exp18DM05_saisie.xlsx;Exp18DM_saisie_t3;Corrupted dataframe, failed to retrieve photos
Exp18DM05_saisie_OIV à 4, 5 et 6 dpi.xlsx;Exp18DM05_saisie_t2;Corrupted dataframe, failed to retrieve photos
Exp18DM05_saisie_OIV à 4, 5 et 6 dpi.xlsx;Exp18D_saisie_t1;Corrupted dataframe, failed to retrieve photos
Exp18DM05_saisie_OIV à 4, 5 et 6 dpi.xlsx;Exp18DM_saisie_t3;Corrupted dataframe, failed to retrieve photos
Exp18DM05_saisiebis.xlsx;Exp18DM05_saisie_t2;Corrupted dataframe, failed to retrieve photos
Exp18DM05_saisiebis.xlsx;Exp18DM_saisie_t3;Corrupted dataframe, failed to retrieve photos
Exp18DM05_saisiebis.xlsx;Exp18D_saisie_t1;Corrupted dataframe, failed to retrieve photos
Exp21DM07_inoc2_saisie.xlsx;fichier total;Corrupted dataframe, failed to retrieve photos
Exp22DM01_inoc1_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM01_inoc2_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM02_inoc1_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM02_inoc2_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM02_inoc3_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM03_inoc2_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM03_inoc3_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM06_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM08_inoc2_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM08_inoc3_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM11_inoc1_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM11_inoc2_saisie.xlsx;Infos;Corrupted dataframe
Exp22DM11_inoc3_saisie.xlsx;Infos;Corrupted dataframe
