taille_necrose;experiment;oiv;surface_necrosee;necrose;densite_sporulation;sheet;sporulation;image_name;colonne;ligne
7;Exp16DM01_saisie;3;9;1;3;fichier total;1;Exp16DM01_inoc1_T6_P01;2;a
7;Exp16DM01_saisie;3;9;1;7;fichier total;1;Exp16DM01_inoc1_T6_P01;3;a
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P01;4;a
7;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P01;4;b
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P01;4;c
9;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P02;1;a
9;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P02;1;b
9;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P02;1;c
7;Exp16DM01_saisie;3;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P03;3;a
7;Exp16DM01_saisie;3;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P03;3;b
7;Exp16DM01_saisie;3;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P03;3;c
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P03;4;a
7;Exp16DM01_saisie;9;5;1;;fichier total;0;Exp16DM01_inoc1_T6_P03;4;b
7;Exp16DM01_saisie;9;5;1;;fichier total;0;Exp16DM01_inoc1_T6_P03;4;c
9;Exp16DM01_saisie;9;5;1;;fichier total;0;Exp16DM01_inoc1_T6_P04;1;a
9;Exp16DM01_saisie;9;5;1;;fichier total;0;Exp16DM01_inoc1_T6_P04;1;b
9;Exp16DM01_saisie;9;5;1;;fichier total;0;Exp16DM01_inoc1_T6_P04;1;c
7;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P05;3;a
7;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P05;3;b
