file;sheet;outcome;comment;csv_file_name
Comparaison_Exp22DM08_inoc1_saisie_V1_V2.xlsx;3dpi;False;No header;
Comparaison_Exp22DM08_inoc1_saisie_V1_V2.xlsx;4dpi;False;No header;
Comparaison_Exp22DM08_inoc1_saisie_V1_V2.xlsx;5dpi;False;No header;
Comparaison_Exp22DM08_inoc1_saisie_V1_V2.xlsx;6dpi;False;No header;
Exp16DM01_saisie.xlsx;moyenne OIV;False;Missing columns: ['photo', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp16DM01_saisie.xlsx;fichier total;True;success;Exp16DM01_saisie_fichier total.csv
Exp16DM02_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM02_inoc1_saisie_fichier total.csv
Exp16DM02_inoc2_saisie.xlsx;fichier total;True;success;Exp16DM02_inoc2_saisie_fichier total.csv
Exp16DM03_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM03_inoc1_saisie_fichier total.csv
Exp16DM03_inoc1_saisie.xlsx;Feuil1;False;Missing columns: ['photo'];
Exp16DM03_inoc2_saisie.xlsx;Feuil1;False;Missing columns: ['photo'];
Exp16DM03_inoc2_saisie.xlsx;fichier total;True;success;Exp16DM03_inoc2_saisie_fichier total.csv
Exp16DM03_inoc3_saisie.xlsx;Feuil1;False;Missing columns: ['photo'];
Exp16DM03_inoc3_saisie.xlsx;fichier total;True;success;Exp16DM03_inoc3_saisie_fichier total.csv
Exp16DM04_inoc1_saisie.xlsx;6dpi;True;success;Exp16DM04_inoc1_saisie_6dpi.csv
Exp16DM04_inoc2_saisie.xlsx;6dpi;True;success;Exp16DM04_inoc2_saisie_6dpi.csv
Exp16DM05_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc1_saisie_fichier total.csv
Exp16DM05_inoc2_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc2_saisie_fichier total.csv
Exp16DM05_inoc3_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc3_saisie_fichier total.csv
Exp16DM05_inoc4_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc4_saisie_fichier total.csv
Exp16DM05_inoc5_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc5_saisie_fichier total.csv
Exp16DM05_inoc6_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc6_saisie_fichier total.csv
Exp16DM06_saisie.xlsx;fichier total;True;success;Exp16DM06_saisie_fichier total.csv
Exp16DM07_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM07_inoc1_saisie_fichier total.csv
Exp16DM07_inoc2_saisie.xlsx;fichier total;True;success;Exp16DM07_inoc2_saisie_fichier total.csv
Exp16DM08_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM08_inoc1_saisie_fichier total.csv
Exp16DM09_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM09_inoc1_saisie_fichier total.csv
Exp16DM10_saisie.xlsx;fichier total;True;success;Exp16DM10_saisie_fichier total.csv
Exp16DM11_inoc1_saisie.xlsx;Moyenne;False;No header;
Exp16DM11_inoc1_saisie.xlsx;fichier_total;True;success;Exp16DM11_inoc1_saisie_fichier_total.csv
Exp16DM11_inoc2_saisie.xlsx;Moyenne;False;No header;
Exp16DM11_inoc2_saisie.xlsx;fichier_total;True;success;Exp16DM11_inoc2_saisie_fichier_total.csv
Exp16DM12_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM12_inoc1_saisie_fichier total.csv
Exp16DM12_inoc2_saisie.xlsx;fichier total;True;success;Exp16DM12_inoc2_saisie_fichier total.csv
Exp17DM01_inoc1_saisie.xlsx;fichier total;True;success;Exp17DM01_inoc1_saisie_fichier total.csv
Exp17DM01_inoc2_saisie.xlsx;fichier total;True;success;Exp17DM01_inoc2_saisie_fichier total.csv
Exp17DM01_inoc3_saisie.xlsx;fichier total;True;success;Exp17DM01_inoc3_saisie_fichier total.csv
Exp17DM02_inoc1_saisie.xlsx;fichier total;True;success;Exp17DM02_inoc1_saisie_fichier total.csv
Exp17DM02_inoc1_saisie.xlsx;Feuil1;False;No header;
Exp17DM02_inoc2_saisie.xlsx;fichier total;True;success;Exp17DM02_inoc2_saisie_fichier total.csv
Exp17DM02_inoc2_saisie.xlsx;Feuil1;False;No header;
Exp17DM02_inoc3_saisie.xlsx;Feuil1;False;No header;
Exp17DM02_inoc3_saisie.xlsx;fichier total;True;success;Exp17DM02_inoc3_saisie_fichier total.csv
Exp17DM03_inoc1_saisie.xlsx;Feuil1;False;No header;
Exp17DM03_inoc1_saisie.xlsx;fichier total;True;success;Exp17DM03_inoc1_saisie_fichier total.csv
Exp17DM03_inoc2_saisie.xlsx;Feuil1;False;No header;
