experiment;sheet;sporulation_oob;sporulation_ds_inc;densite_sporulation_oob;necrose_oob;necrose_sn_inc;necrose_tn_inc;taille_necrose_oob;surface_necrosee_oob;oiv_oob;oiv_s_inc;ligne_oob
Exp16DM01_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM02_inoc1_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM02_inoc2_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM03_inoc1_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM03_inoc2_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM03_inoc3_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM04_inoc1_saisie;6dpi;1;1;1;1;1;1;1;1;1;0;0
Exp16DM04_inoc2_saisie;6dpi;1;1;1;1;1;1;1;1;1;0;0
Exp16DM05_inoc1_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM05_inoc2_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM05_inoc3_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM05_inoc4_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM05_inoc5_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM05_inoc6_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM06_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM07_inoc1_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM07_inoc2_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM08_inoc1_saisie;fichier total;1;1;0;1;1;1;0;0;1;0;0
Exp16DM09_inoc1_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM10_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM11_inoc1_saisie;fichier_total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM11_inoc2_saisie;fichier_total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM12_inoc1_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp16DM12_inoc2_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
Exp17DM01_inoc1_saisie;fichier total;1;1;1;1;1;1;1;1;1;0;0
