,taille_necrose,experiment,oiv,surface_necrosee,necrose,densite_sporulation,sheet,sporulation,image_name,colonne,ligne,rep,year,dai,exp_folder
0,,Exp20DM02,3,,0,1,fichier total,1,Exp20DM02_inoc1_T6_P18,4.0,b,inoc1,20,,EXP-2020
1,,Exp20DM04,3,,0,1,fichier total,1,Exp20DM04_inoc1_T6_P10,4.0,a,inoc1,20,,EXP-2020
2,,Exp20DM01,1,,0,1,fichier total,1,Exp20DM01_inoc2_T6_P32,2.0,a,inoc2,20,,EXP-2020
3,,Exp20DM01,1,,0,3,fichier total,1,Exp20DM01_inoc2_T6_P49,2.0,c,inoc2,20,,EXP-2020
4,,Exp20DM02,3,,0,3,fichier total,1,Exp20DM02_inoc1_T6_P03,3.0,a,inoc1,20,,EXP-2020
5,,Exp20DM02,3,,0,3,fichier total,1,Exp20DM02_inoc2_T6_P31,1.0,a,inoc2,20,,EXP-2020
6,7,Exp20DM01,5,9,1,5,fichier total,1,Exp20DM01_inoc2_T6_P01,3.0,b,inoc2,20,,EXP-2020
7,5,Exp20DM01,5,3,1,5,fichier total,1,Exp20DM01_inoc2_T6_P48,2.0,b,inoc2,20,,EXP-2020
8,,Exp20DM02,5,,0,5,fichier total,1,Exp20DM02_inoc2_T6_P41,2.0,c,inoc2,20,,EXP-2020
9,7,Exp20DM02,7,5,1,7,fichier total,1,Exp20DM02_inoc1_T6_P19,1.0,c,inoc1,20,,EXP-2020
10,7,Exp20DM03,7,7,1,7,fichier total,1,Exp20DM03_inoc1_T6_P05,1.0,b,inoc1,20,,EXP-2020
11,7,Exp20DM01,7,9,1,7,fichier total,1,Exp20DM01_inoc2_T6_P07,3.0,c,inoc2,20,,EXP-2020
12,7,Exp20DM02,7,9,1,9,fichier total,1,Exp20DM02_inoc1_T6_P43,4.0,c,inoc1,20,,EXP-2020
13,5,Exp20DM02,7,7,1,9,fichier total,1,Exp20DM02_inoc2_T6_P07,4.0,c,inoc2,20,,EXP-2020
14,7,Exp20DM01,7,7,1,9,fichier total,1,Exp20DM01_inoc2_T6_P12,2.0,c,inoc2,20,,EXP-2020
15,1,Exp20DM02,1,5,1,3,fichier total,1,Exp20DM02_inoc1_T6_P41,3.0,a,inoc1,20,,EXP-2020
16,1,Exp20DM02,5,5,1,3,fichier total,1,Exp20DM02_inoc1_T6_P22,2.0,b,inoc1,20,,EXP-2020
17,1,Exp20DM02,3,5,1,1,fichier total,1,Exp20DM02_inoc1_T6_P25,1.0,b,inoc1,20,,EXP-2020
18,3,Exp20DM01,5,3,1,7,fichier total,1,Exp20DM01_inoc2_T6_P47,4.0,b,inoc2,20,,EXP-2020
19,3,Exp20DM02,7,5,1,9,fichier total,1,Exp20DM02_inoc2_T6_P13,4.0,b,inoc2,20,,EXP-2020
20,3,Exp20DM01,5,3,1,7,fichier total,1,Exp20DM01_inoc2_T6_P47,4.0,a,inoc2,20,,EXP-2020
21,5,Exp20DM01,7,5,1,9,fichier total,1,Exp20DM01_inoc2_T6_P23,3.0,a,inoc2,20,,EXP-2020
22,5,Exp20DM01,5,7,1,5,fichier total,1,Exp20DM01_inoc2_T6_P52,4.0,a,inoc2,20,,EXP-2020
23,5,Exp20DM01,7,7,1,9,fichier total,1,Exp20DM01_inoc2_T6_P08,3.0,c,inoc2,20,,EXP-2020
24,7,Exp20DM02,7,7,1,7,fichier total,1,Exp20DM02_inoc1_T6_P16,4.0,b,inoc1,20,,EXP-2020
25,7,Exp20DM03,7,5,1,9,fichier total,1,Exp20DM03_inoc2_T6_P15,4.0,a,inoc2,20,,EXP-2020
26,7,Exp20DM01,9,9,1,,fichier total,0,Exp20DM01_inoc2_T6_P09,3.0,b,inoc2,20,,EXP-2020
27,9,Exp20DM01,9,9,1,,fichier total,0,Exp20DM01_inoc2_T6_P06,3.0,c,inoc2,20,,EXP-2020
28,9,Exp20DM04,,7,1,3,fichier total,1,Exp20DM04_inoc1_T6_P18,4.0,a,inoc1,20,,EXP-2020
29,9,Exp20DM02,9,9,1,,fichier total,0,Exp20DM02_inoc2_T6_P19,2.0,a,inoc2,20,,EXP-2020
30,9,Exp20DM02,9,3,1,,fichier total,0,Exp20DM02_inoc1_T6_P36,3.0,a,inoc1,20,,EXP-2020
31,1,Exp20DM02,1,3,1,3,fichier total,1,Exp20DM02_inoc1_T6_P29,4.0,b,inoc1,20,,EXP-2020
32,7,Exp20DM01,9,3,1,,fichier total,0,Exp20DM01_inoc2_T6_P10,2.0,c,inoc2,20,,EXP-2020
33,3,Exp20DM04,3,5,1,5,fichier total,1,Exp20DM04_inoc1_T6_P28,1.0,a,inoc1,20,,EXP-2020
34,9,Exp20DM02,9,5,1,,fichier total,0,Exp20DM02_inoc1_T6_P21,3.0,c,inoc1,20,,EXP-2020
35,5,Exp20DM01,5,5,1,5,fichier total,1,Exp20DM01_inoc2_T6_P07,2.0,c,inoc2,20,,EXP-2020
36,7,Exp20DM02,7,7,1,5,fichier total,1,Exp20DM02_inoc1_T6_P39,2.0,b,inoc1,20,,EXP-2020
37,5,Exp20DM02,9,7,1,,fichier total,0,Exp20DM02_inoc2_T6_P09,4.0,a,inoc2,20,,EXP-2020
38,7,Exp20DM02,7,7,1,9,fichier total,1,Exp20DM02_inoc1_T6_P23,2.0,b,inoc1,20,,EXP-2020
39,7,Exp20DM02,7,9,1,9,fichier total,1,Exp20DM02_inoc2_T6_P06,2.0,b,inoc2,20,,EXP-2020
40,9,Exp20DM01,9,9,1,,fichier total,0,Exp20DM01_inoc2_T6_P04,2.0,c,inoc2,20,,EXP-2020
41,7,Exp20DM03,7,9,1,7,fichier total,1,Exp20DM03_inoc2_T6_P19,1.0,c,inoc2,20,,EXP-2020
42,,Exp20DM03,1,,0,3,fichier total,1,Exp20DM03_inoc2_T6_P22,3.0,a,inoc2,20,,EXP-2020
43,,Exp20DM02,1,,0,3,fichier total,1,Exp20DM02_inoc1_T6_P28,2.0,b,inoc1,20,,EXP-2020
44,,Exp20DM04,1,,0,3,fichier total,1,Exp20DM04_inoc1_T6_P31,3.0,a,inoc1,20,,EXP-2020
