necrose;densite_sporulation;image_name;ligne;taille_necrose;experiment;surface_necrosee;sheet;colonne;sporulation;oiv
;7.0;Exp16DM01-Rep1-P10;a;;Exp16DM01_saisie;;fichier total;1.0;1.0;7.0
;7.0;Exp16DM01-Rep1-P10;c;;Exp16DM01_saisie;;fichier total;4.0;1.0;5.0
;7.0;Exp16DM01-Rep1-P10;b;;Exp16DM01_saisie;;fichier total;4.0;1.0;7.0
;7.0;Exp16DM01-Rep1-P10;a;;Exp16DM01_saisie;;fichier total;4.0;1.0;7.0
1.0;5.0;Exp16DM01-Rep1-P10;b;5.0;Exp16DM01_saisie;5.0;fichier total;3.0;1.0;3.0
1.0;5.0;Exp16DM01-Rep1-P10;a;5.0;Exp16DM01_saisie;5.0;fichier total;3.0;1.0;5.0
1.0;7.0;Exp16DM01-Rep1-P10;c;5.0;Exp16DM01_saisie;7.0;fichier total;3.0;1.0;5.0
;3.0;Exp16DM01-Rep1-P10;b;;Exp16DM01_saisie;;fichier total;2.0;1.0;3.0
;3.0;Exp16DM01-Rep1-P10;a;;Exp16DM01_saisie;;fichier total;2.0;1.0;5.0
;5.0;Exp16DM01-Rep1-P10;c;;Exp16DM01_saisie;;fichier total;1.0;1.0;7.0
;5.0;Exp16DM01-Rep1-P10;b;;Exp16DM01_saisie;;fichier total;1.0;1.0;5.0
;3.0;Exp16DM01-Rep1-P10;c;;Exp16DM01_saisie;;fichier total;2.0;1.0;3.0
;1.0;Exp16DM01-Rep1-P11;b;;Exp16DM01_saisie;;fichier total;3.0;1.0;1.0
;1.0;Exp16DM01-Rep1-P11;c;;Exp16DM01_saisie;;fichier total;4.0;1.0;3.0
;1.0;Exp16DM01-Rep1-P11;b;;Exp16DM01_saisie;;fichier total;4.0;1.0;1.0
;1.0;Exp16DM01-Rep1-P11;a;;Exp16DM01_saisie;;fichier total;4.0;1.0;1.0
;1.0;Exp16DM01-Rep1-P11;a;;Exp16DM01_saisie;;fichier total;3.0;1.0;1.0
;1.0;Exp16DM01-Rep1-P11;c;;Exp16DM01_saisie;;fichier total;3.0;1.0;1.0
1.0;3.0;Exp16DM01-Rep1-P11;b;5.0;Exp16DM01_saisie;7.0;fichier total;2.0;1.0;3.0
1.0;3.0;Exp16DM01-Rep1-P11;a;5.0;Exp16DM01_saisie;7.0;fichier total;2.0;1.0;3.0
1.0;7.0;Exp16DM01-Rep1-P11;c;7.0;Exp16DM01_saisie;7.0;fichier total;1.0;1.0;7.0
1.0;7.0;Exp16DM01-Rep1-P11;b;7.0;Exp16DM01_saisie;7.0;fichier total;1.0;1.0;7.0
1.0;7.0;Exp16DM01-Rep1-P11;a;7.0;Exp16DM01_saisie;5.0;fichier total;1.0;1.0;7.0
1.0;5.0;Exp16DM01-Rep1-P11;c;5.0;Exp16DM01_saisie;7.0;fichier total;2.0;1.0;7.0
1.0;7.0;Exp16DM01-Rep1-P12;c;7.0;Exp16DM01_saisie;7.0;fichier total;4.0;1.0;7.0
1.0;7.0;Exp16DM01-Rep1-P12;b;7.0;Exp16DM01_saisie;7.0;fichier total;4.0;1.0;7.0
1.0;9.0;Exp16DM01-Rep1-P12;a;7.0;Exp16DM01_saisie;7.0;fichier total;4.0;1.0;7.0
1.0;5.0;Exp16DM01-Rep1-P12;c;5.0;Exp16DM01_saisie;7.0;fichier total;3.0;1.0;3.0
1.0;3.0;Exp16DM01-Rep1-P12;b;5.0;Exp16DM01_saisie;7.0;fichier total;3.0;1.0;3.0
1.0;5.0;Exp16DM01-Rep1-P12;a;5.0;Exp16DM01_saisie;7.0;fichier total;3.0;1.0;3.0
1.0;7.0;Exp16DM01-Rep1-P12;c;7.0;Exp16DM01_saisie;7.0;fichier total;2.0;1.0;7.0
1.0;9.0;Exp16DM01-Rep1-P12;a;7.0;Exp16DM01_saisie;7.0;fichier total;2.0;1.0;7.0
1.0;5.0;Exp16DM01-Rep1-P12;c;5.0;Exp16DM01_saisie;7.0;fichier total;1.0;1.0;5.0
1.0;5.0;Exp16DM01-Rep1-P12;b;5.0;Exp16DM01_saisie;7.0;fichier total;1.0;1.0;3.0
1.0;7.0;Exp16DM01-Rep1-P12;a;7.0;Exp16DM01_saisie;5.0;fichier total;1.0;1.0;7.0
1.0;7.0;Exp16DM01-Rep1-P12;b;7.0;Exp16DM01_saisie;7.0;fichier total;2.0;1.0;7.0
;3.0;Exp16DM01-Rep1-P13;c;;Exp16DM01_saisie;;fichier total;3.0;1.0;3.0
;1.0;Exp16DM01-Rep1-P13;c;;Exp16DM01_saisie;;fichier total;4.0;1.0;3.0
;1.0;Exp16DM01-Rep1-P13;b;;Exp16DM01_saisie;;fichier total;4.0;1.0;3.0
;5.0;Exp16DM01-Rep1-P13;a;;Exp16DM01_saisie;;fichier total;4.0;1.0;3.0
;1.0;Exp16DM01-Rep1-P13;b;;Exp16DM01_saisie;;fichier total;3.0;1.0;3.0
;3.0;Exp16DM01-Rep1-P13;a;;Exp16DM01_saisie;;fichier total;3.0;1.0;3.0
;3.0;Exp16DM01-Rep1-P13;b;;Exp16DM01_saisie;;fichier total;2.0;1.0;3.0
;3.0;Exp16DM01-Rep1-P13;a;;Exp16DM01_saisie;;fichier total;2.0;1.0;3.0
1.0;9.0;Exp16DM01-Rep1-P13;c;7.0;Exp16DM01_saisie;7.0;fichier total;1.0;1.0;7.0
1.0;9.0;Exp16DM01-Rep1-P13;b;7.0;Exp16DM01_saisie;7.0;fichier total;1.0;1.0;7.0
1.0;;Exp16DM01-Rep1-P13;a;7.0;Exp16DM01_saisie;7.0;fichier total;1.0;0.0;9.0
;3.0;Exp16DM01-Rep1-P13;c;;Exp16DM01_saisie;;fichier total;2.0;1.0;3.0
;1.0;Exp16DM01-Rep1-P14;c;;Exp16DM01_saisie;;fichier total;2.0;1.0;3.0
;1.0;Exp16DM01-Rep1-P14;b;;Exp16DM01_saisie;;fichier total;4.0;1.0;3.0
;3.0;Exp16DM01-Rep1-P14;a;;Exp16DM01_saisie;;fichier total;4.0;1.0;3.0
;7.0;Exp16DM01-Rep1-P14;c;;Exp16DM01_saisie;;fichier total;3.0;1.0;7.0
;7.0;Exp16DM01-Rep1-P14;b;;Exp16DM01_saisie;;fichier total;3.0;1.0;7.0
;5.0;Exp16DM01-Rep1-P14;a;;Exp16DM01_saisie;;fichier total;3.0;1.0;5.0
;1.0;Exp16DM01-Rep1-P14;a;;Exp16DM01_saisie;;fichier total;2.0;1.0;1.0
;1.0;Exp16DM01-Rep1-P14;c;;Exp16DM01_saisie;;fichier total;4.0;1.0;3.0
;5.0;Exp16DM01-Rep1-P14;c;;Exp16DM01_saisie;;fichier total;1.0;1.0;5.0
