nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp16DM02_inoc1_T6_P01,3.0,1.0,3.0,0.0,,,a,1,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P01,3.0,1.0,3.0,0.0,,,b,1,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P01,3.0,1.0,3.0,0.0,,,c,1,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P01,3.0,1.0,1.0,0.0,,,a,2,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P01,3.0,1.0,1.0,0.0,,,b,2,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P01,3.0,1.0,1.0,0.0,,,c,2,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P01,3.0,1.0,3.0,0.0,,,a,3,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P01,3.0,1.0,5.0,0.0,,,b,3,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P01,3.0,1.0,3.0,0.0,,,c,3,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P01,9.0,0.0,,1.0,9.0,7.0,a,4,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P01,9.0,0.0,,1.0,9.0,7.0,b,4,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P01,9.0,0.0,,1.0,9.0,7.0,c,4,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P02,9.0,0.0,,1.0,5.0,9.0,a,1,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P02,9.0,0.0,,1.0,5.0,9.0,b,1,Exp16DM02_inoc1_saisie,fichier total
Exp16DM02_inoc1_T6_P02,9.0,0.0,,1.0,5.0,9.0,c,1,Exp16DM02_inoc1_saisie,fichier total
