image_name;oiv;sporulation;densite_sporulation;necrose;surface_necrosee;taille_necrose;ligne;colonne;experiment;sheet
Exp19DM04_inoc1_T6_P01;5.0;1.0;3.0;0.0;;;a;1;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P01;5.0;1.0;3.0;0.0;;;b;1;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P01;4.0;1.0;3.0;0.0;;;c;1;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P01;4.0;1.0;3.0;0.0;;;a;2;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P01;4.0;1.0;3.0;0.0;;;b;2;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P01;5.0;1.0;3.0;0.0;;;c;2;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P01;5.0;1.0;5.0;0.0;;;a;3;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P01;5.0;1.0;5.0;0.0;;;b;3;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P01;5.0;1.0;5.0;0.0;;;c;3;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P01;7.0;1.0;9.0;1.0;7.0;7.0;a;4;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P01;7.0;1.0;9.0;1.0;7.0;7.0;b;4;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P01;7.0;1.0;9.0;1.0;7.0;7.0;c;4;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;9.0;0.0;;1.0;9.0;9.0;a;1;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;9.0;0.0;;1.0;9.0;9.0;b;1;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;9.0;0.0;;1.0;9.0;9.0;c;1;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;4.0;1.0;3.0;0.0;;;a;2;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;3.0;1.0;3.0;0.0;;;b;2;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;3.0;1.0;3.0;0.0;;;c;2;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;5.0;1.0;3.0;0.0;;;a;3;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;4.0;1.0;3.0;0.0;;;b;3;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;4.0;1.0;3.0;0.0;;;c;3;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;3.0;1.0;3.0;0.0;;;a;4;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;4.0;1.0;3.0;0.0;;;b;4;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P02;3.0;1.0;3.0;0.0;;;c;4;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;9.0;0.0;;1.0;9.0;9.0;a;1;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;9.0;0.0;;1.0;9.0;9.0;b;1;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;9.0;0.0;;1.0;9.0;9.0;c;1;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;2.0;1.0;3.0;0.0;;;a;2;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;2.0;1.0;3.0;0.0;;;b;2;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;2.0;1.0;3.0;0.0;;;c;2;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;3.0;1.0;3.0;0.0;;;a;3;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;3.0;1.0;3.0;0.0;;;b;3;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;3.0;1.0;3.0;0.0;;;c;3;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;5.0;1.0;5.0;1.0;9.0;7.0;a;4;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;4.0;1.0;5.0;1.0;9.0;7.0;b;4;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P03;4.0;1.0;5.0;1.0;9.0;7.0;c;4;Exp19DM04_inoc1_saisie_bis;fichier total
Exp19DM04_inoc1_T6_P04;7.0;1.0;9.0;1.0;7.0;7.0;a;1;Exp19DM04_inoc1_saisie_bis;fichier total
