nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp19DM04_inoc2_T6_P01,3.0,1.0,3.0,0.0,,,a,1,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P01,4.0,1.0,3.0,0.0,,,b,1,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P01,3.0,1.0,3.0,0.0,,,c,1,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P01,3.0,1.0,3.0,0.0,,,a,2,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P01,3.0,1.0,3.0,0.0,,,c,2,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P01,3.0,1.0,5.0,1.0,5.0,5.0,a,3,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P01,4.0,1.0,5.0,1.0,5.0,5.0,b,3,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P01,4.0,1.0,5.0,1.0,5.0,5.0,c,3,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P01,7.0,1.0,7.0,1.0,7.0,7.0,a,4,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P01,7.0,1.0,7.0,1.0,7.0,7.0,b,4,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P01,7.0,1.0,7.0,1.0,7.0,7.0,c,4,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,9.0,0.0,,1.0,9.0,9.0,a,1,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,9.0,0.0,,1.0,9.0,9.0,b,1,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,9.0,0.0,,1.0,9.0,9.0,c,1,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,4.0,1.0,5.0,1.0,5.0,7.0,a,2,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,4.0,1.0,5.0,1.0,5.0,7.0,b,2,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,5.0,1.0,5.0,1.0,5.0,7.0,c,2,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,2.0,1.0,1.0,0.0,,,a,3,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,2.0,1.0,1.0,0.0,,,b,3,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,2.0,1.0,1.0,0.0,,,c,3,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,3.0,1.0,3.0,0.0,,,a,4,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,3.0,1.0,3.0,0.0,,,b,4,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P02,2.0,1.0,3.0,0.0,,,c,4,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P03,9.0,0.0,,1.0,9.0,9.0,a,1,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P03,9.0,0.0,,1.0,9.0,9.0,b,1,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P03,9.0,0.0,,1.0,9.0,9.0,c,1,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P03,2.0,1.0,1.0,0.0,,,a,2,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P03,2.0,1.0,1.0,0.0,,,b,2,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P03,2.0,1.0,1.0,0.0,,,c,2,Exp19DM04_inoc2_saisie_bis,fichier total
Exp19DM04_inoc2_T6_P03,2.0,1.0,3.0,0.0,,,a,3,Exp19DM04_inoc2_saisie_bis,fichier total
