image_name;oiv;sporulation;densite_sporulation;necrose;surface_necrosee;taille_necrose;ligne;colonne;experiment;sheet
Exp21DM14_inoc1_T8_P04;5.0;1.0;1.0;0.0;;;a;1;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P04;5.0;1.0;1.0;0.0;;;b;1;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P04;5.0;1.0;1.0;0.0;;;c;1;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P04;1.0;1.0;3.0;0.0;;;a;2;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P04;1.0;1.0;3.0;0.0;;;b;2;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P04;5.0;1.0;3.0;0.0;;;c;2;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P04;5.0;1.0;7.0;0.0;;;a;3;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P04;5.0;1.0;7.0;0.0;;;b;3;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P04;9.0;0.0;;0.0;;;c;3;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P04;7.0;1.0;9.0;1.0;;;a;4;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P04;7.0;1.0;9.0;1.0;;;b;4;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P04;9.0;0.0;;1.0;;;c;4;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;3.0;1.0;3.0;0.0;;;a;1;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;5.0;1.0;3.0;0.0;;;b;1;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;5.0;1.0;3.0;0.0;;;c;1;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;1.0;1.0;3.0;0.0;;;a;2;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;1.0;1.0;3.0;0.0;;;b;2;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;1.0;1.0;3.0;0.0;;;c;2;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;7.0;1.0;7.0;0.0;;;a;3;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;5.0;1.0;7.0;0.0;;;b;3;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;9.0;0.0;;0.0;;;c;3;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;7.0;1.0;9.0;1.0;;;a;4;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;7.0;1.0;9.0;1.0;;;b;4;Exp21DM14_inoc1_saisie;8dpi
Exp21DM14_inoc1_T8_P05;9.0;0.0;;1.0;;;c;4;Exp21DM14_inoc1_saisie;8dpi
