nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp18DM02-Inoc2-P1,3.0,1.0,1.0,0.0,,,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P1,3.0,1.0,1.0,0.0,,,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P1,3.0,1.0,1.0,0.0,,,c,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P1,1.0,1.0,1.0,0.0,,,a,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P1,1.0,1.0,1.0,0.0,,,b,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P1,3.0,1.0,1.0,0.0,,,c,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P1,5.0,1.0,3.0,0.0,,,a,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P1,7.0,1.0,3.0,0.0,,,b,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P1,3.0,1.0,3.0,0.0,,,c,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P1,7.0,1.0,7.0,1.0,9.0,7.0,a,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P1,7.0,1.0,7.0,1.0,9.0,7.0,b,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P1,7.0,1.0,7.0,1.0,9.0,7.0,c,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P2,9.0,0.0,,1.0,7.0,9.0,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P2,9.0,0.0,,1.0,7.0,9.0,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P2,9.0,0.0,,1.0,7.0,9.0,c,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,9.0,0.0,,1.0,7.0,9.0,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,9.0,0.0,,1.0,7.0,9.0,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,9.0,0.0,,1.0,7.0,9.0,c,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,3.0,1.0,1.0,0.0,,,a,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,3.0,1.0,1.0,0.0,,,b,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,3.0,1.0,1.0,0.0,,,c,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,3.0,1.0,1.0,0.0,,,a,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,3.0,1.0,1.0,0.0,,,b,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,3.0,1.0,1.0,0.0,,,c,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,5.0,1.0,5.0,1.0,9.0,7.0,a,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,5.0,1.0,3.0,1.0,9.0,7.0,b,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P3,5.0,1.0,3.0,1.0,9.0,7.0,c,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P4,7.0,1.0,9.0,1.0,5.0,7.0,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P4,7.0,1.0,7.0,1.0,3.0,7.0,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P4,7.0,1.0,7.0,1.0,3.0,7.0,c,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,7.0,1.0,7.0,1.0,5.0,7.0,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,7.0,1.0,7.0,1.0,5.0,7.0,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,7.0,1.0,7.0,1.0,5.0,7.0,c,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,9.0,0.0,,1.0,7.0,9.0,a,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,9.0,0.0,,1.0,7.0,9.0,b,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,9.0,0.0,,1.0,7.0,9.0,c,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,3.0,1.0,3.0,0.0,,,a,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,3.0,1.0,3.0,0.0,,,b,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,3.0,1.0,3.0,0.0,,,c,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,3.0,1.0,3.0,0.0,,,a,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,3.0,1.0,3.0,0.0,,,b,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P5,1.0,1.0,1.0,0.0,,,c,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P6,5.0,1.0,3.0,1.0,7.0,7.0,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P6,3.0,1.0,3.0,0.0,,,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P6,3.0,1.0,3.0,0.0,,,c,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,1.0,0.0,,,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,1.0,0.0,,,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,1.0,0.0,,,c,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,3.0,0.0,,,a,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,3.0,0.0,,,b,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,3.0,0.0,,,c,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,3.0,0.0,,,a,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,3.0,0.0,,,b,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,3.0,0.0,,,c,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,1.0,0.0,,,a,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,1.0,0.0,,,b,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P7,1.0,1.0,1.0,0.0,,,c,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,5.0,1.0,5.0,0.0,,,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,5.0,1.0,5.0,0.0,,,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,3.0,1.0,5.0,0.0,,,c,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,5.0,1.0,5.0,0.0,,,a,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,3.0,1.0,5.0,0.0,,,b,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,3.0,1.0,5.0,0.0,,,c,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,5.0,1.0,5.0,0.0,,,a,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,5.0,1.0,5.0,0.0,,,b,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,5.0,1.0,5.0,0.0,,,c,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,7.0,1.0,7.0,1.0,3.0,1.0,a,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,7.0,1.0,7.0,1.0,3.0,1.0,b,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P8,7.0,1.0,7.0,1.0,3.0,1.0,c,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,3.0,1.0,5.0,0.0,,,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,3.0,1.0,5.0,0.0,,,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,3.0,1.0,5.0,0.0,,,c,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,5.0,1.0,5.0,0.0,,,a,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,5.0,1.0,5.0,0.0,,,b,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,5.0,1.0,5.0,0.0,,,c,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,3.0,1.0,5.0,0.0,,,a,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,3.0,1.0,5.0,0.0,,,b,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,5.0,1.0,5.0,0.0,,,c,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,5.0,1.0,5.0,0.0,,,a,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,5.0,1.0,5.0,0.0,,,b,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P9,5.0,1.0,5.0,0.0,,,c,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,3.0,1.0,5.0,0.0,,,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,3.0,1.0,5.0,0.0,,,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,3.0,1.0,5.0,0.0,,,c,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,7.0,1.0,5.0,1.0,7.0,3.0,a,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,7.0,1.0,7.0,0.0,,,b,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,7.0,1.0,7.0,0.0,,,c,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,5.0,1.0,5.0,0.0,,,a,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,3.0,1.0,5.0,0.0,,,b,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,5.0,1.0,5.0,1.0,5.0,7.0,c,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,7.0,1.0,7.0,1.0,5.0,1.0,a,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,7.0,1.0,7.0,1.0,5.0,1.0,b,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P10,7.0,1.0,7.0,1.0,5.0,1.0,c,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,7.0,1.0,7.0,1.0,5.0,5.0,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,7.0,1.0,7.0,1.0,5.0,5.0,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,7.0,1.0,7.0,1.0,5.0,5.0,c,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,5.0,1.0,3.0,0.0,,,a,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,5.0,1.0,3.0,1.0,5.0,5.0,b,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,5.0,1.0,5.0,1.0,5.0,5.0,c,2,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,5.0,1.0,3.0,0.0,,,a,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,5.0,1.0,3.0,0.0,,,b,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,3.0,1.0,3.0,0.0,,,c,3,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,7.0,1.0,5.0,1.0,3.0,3.0,a,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,5.0,1.0,5.0,1.0,3.0,3.0,b,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P11,5.0,1.0,5.0,1.0,3.0,3.0,c,4,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P12,7.0,1.0,7.0,1.0,5.0,3.0,a,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P12,7.0,1.0,7.0,1.0,5.0,3.0,b,1,Exp18DM02_inoc2et3_saisie,fichier total
Exp18DM02-Inoc2-P12,7.0,1.0,7.0,1.0,5.0,3.0,c,1,Exp18DM02_inoc2et3_saisie,fichier total
