nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp18DM05-Inoc1-P31,7.0,1.0,7.0,1.0,5.0,5.0,a,1.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P31,5.0,1.0,5.0,1.0,5.0,3.0,b,1.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P31,3.0,1.0,3.0,0.0,,,c,1.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P31,7.0,1.0,9.0,1.0,9.0,9.0,a,2.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P31,3.0,1.0,3.0,0.0,,,b,2.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P31,5.0,1.0,5.0,1.0,5.0,3.0,c,2.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P31,9.0,0.0,,1.0,5.0,5.0,a,3.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P31,5.0,1.0,5.0,0.0,,,b,3.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P31,9.0,0.0,,1.0,7.0,7.0,c,3.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P31,7.0,1.0,9.0,1.0,5.0,7.0,a,4.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P31,7.0,1.0,5.0,0.0,,,b,4.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P31,5.0,1.0,5.0,0.0,,,c,4.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,7.0,1.0,9.0,1.0,9.0,9.0,a,1.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,5.0,1.0,5.0,0.0,,,b,1.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,7.0,1.0,9.0,1.0,7.0,5.0,c,1.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,7.0,1.0,9.0,1.0,7.0,5.0,a,2.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,7.0,1.0,9.0,1.0,5.0,5.0,b,2.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,7.0,1.0,9.0,1.0,7.0,5.0,c,2.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,5.0,1.0,5.0,0.0,,,a,3.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,3.0,1.0,3.0,0.0,,,b,3.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,5.0,1.0,5.0,1.0,3.0,3.0,c,3.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,7.0,1.0,7.0,0.0,,,a,4.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,9.0,0.0,,0.0,,,b,4.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P32,9.0,0.0,,0.0,,,c,4.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P33,7.0,1.0,9.0,1.0,7.0,7.0,a,1.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P33,3.0,1.0,5.0,0.0,,,b,1.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P33,5.0,1.0,5.0,0.0,,,c,1.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P33,5.0,1.0,5.0,0.0,,,a,2.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P33,5.0,1.0,5.0,1.0,7.0,3.0,b,2.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P33,7.0,1.0,5.0,0.0,,,c,2.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
Exp18DM05-Inoc1-P33,7.0,1.0,9.0,0.0,,,a,3.0,Exp18DM05_saisie,Exp18DM05_saisie_t5
