nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp18DM07-Inoc1-P1,3,1,3,,,,a,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P1,3,1,3,,,,b,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P1,3,1,3,,,,c,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P1,1,1,3,,,,a,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P1,1,1,3,,,,b,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P1,1,1,3,,,,c,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P1,3,1,5,,,,a,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P1,3,1,5,,,,b,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P1,3,1,5,,,,c,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P1,7,1,9,1.0,7.0,7.0,a,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P1,7,1,9,1.0,7.0,7.0,b,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P1,7,1,9,1.0,7.0,7.0,c,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,3,1,3,,,,a,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,3,1,3,,,,b,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,3,1,3,,,9.0,c,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,3,1,5,,,,a,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,3,1,5,,,,b,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,5,1,5,,,,c,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,7,1,9,1.0,9.0,7.0,a,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,7,1,9,1.0,9.0,7.0,b,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,7,1,9,1.0,9.0,7.0,c,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,3,1,3,,,,a,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,3,1,3,,,,b,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P2,3,1,3,,,,c,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,5,1,3,,,,a,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,3,1,3,,,,b,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,3,1,3,,,,c,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,7,1,9,1.0,9.0,7.0,a,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,7,1,9,1.0,9.0,7.0,b,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,7,1,9,1.0,9.0,7.0,c,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,3,1,3,,,,a,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,3,1,3,,,,b,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,3,1,3,,,,c,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,3,1,1,,,,a,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,3,1,1,,,,b,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P3,3,1,1,,,,c,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,5,1,5,,,,a,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,5,1,5,,,,b,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,5,1,5,,,,c,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,5,1,3,,,,a,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,5,1,5,,,,b,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,5,1,5,,,,c,2,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,5,1,5,,,,a,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,5,1,5,,,,b,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,5,1,5,,,,c,3,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,5,1,5,,,,a,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,3,1,3,,,,b,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P7,5,1,5,,,,c,4,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P8,3,1,1,,,,a,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P8,3,1,1,,,,b,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P8,3,1,1,,,,c,1,Exp18DM07_saisie,Feuil1
Exp18DM07-Inoc1-P8,3,1,1,,,,a,2,Exp18DM07_saisie,Feuil1
