nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp20DM04-Inoc2-P1,3.0,,,0.0,,,a,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P1,3.0,,,0.0,,,b,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P1,1.0,,,0.0,,,c,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P1,3.0,,,0.0,,,a,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P1,3.0,,,0.0,,,b,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P1,5.0,,,0.0,,,c,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P1,7.0,,,0.0,,,a,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P1,5.0,,,0.0,,,b,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P1,5.0,,,0.0,,,c,3,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P1,9.0,,,1.0,,,a,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P1,7.0,,,1.0,,,b,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P1,7.0,,,1.0,,,c,4,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P2,9.0,,,0.0,,,a,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P2,9.0,,,0.0,,,b,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P2,9.0,,,0.0,,,c,1,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P2,7.0,,,1.0,,,a,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P2,7.0,,,1.0,,,b,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P2,7.0,,,1.0,,,c,2,Exp20DM04_inoc2_saisie,fichier total
Exp20DM04-Inoc2-P2,3.0,,,0.0,,,a,3,Exp20DM04_inoc2_saisie,fichier total
