nomphoto,oiv,s,sq,n,fn,tn,ligne,colonne,exp,sheet
Exp21DM13-Inoc2-P1,3.0,1.0,3.0,0.0,,,a,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P1,3.0,1.0,3.0,0.0,,,b,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P1,3.0,1.0,3.0,0.0,,,c,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P1,5.0,1.0,5.0,1.0,9.0,7.0,a,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P1,5.0,1.0,5.0,1.0,9.0,7.0,b,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P1,5.0,1.0,5.0,1.0,9.0,7.0,c,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P1,3.0,1.0,3.0,0.0,,,a,3.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P1,3.0,1.0,3.0,0.0,,,b,3.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P1,3.0,1.0,3.0,0.0,,,c,3.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P1,7.0,1.0,9.0,1.0,7.0,7.0,a,4.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P1,7.0,1.0,9.0,1.0,7.0,7.0,b,4.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P1,7.0,1.0,9.0,1.0,7.0,7.0,c,4.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P2,9.0,0.0,,1.0,7.0,9.0,a,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P2,9.0,0.0,,1.0,7.0,9.0,b,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P2,9.0,0.0,,1.0,7.0,9.0,c,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P2,1.0,1.0,3.0,0.0,,,a,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P2,1.0,1.0,3.0,0.0,,,b,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P2,1.0,1.0,3.0,0.0,,,c,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,9.0,0.0,,1.0,7.0,9.0,a,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,9.0,0.0,,1.0,7.0,9.0,b,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,9.0,0.0,,1.0,7.0,9.0,c,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,5.0,1.0,3.0,0.0,,,a,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,5.0,1.0,3.0,0.0,,,b,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,3.0,1.0,3.0,0.0,,,c,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,1.0,1.0,3.0,0.0,,,a,3.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,3.0,1.0,3.0,0.0,,,b,3.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,3.0,1.0,3.0,0.0,,,c,3.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,7.0,1.0,5.0,0.0,,,a,4.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,5.0,1.0,5.0,0.0,,,b,4.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P3,5.0,1.0,5.0,0.0,,,c,4.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P4,7.0,1.0,9.0,1.0,5.0,7.0,a,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P4,7.0,1.0,9.0,1.0,5.0,7.0,b,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P4,7.0,1.0,9.0,1.0,5.0,7.0,c,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,9.0,0.0,,1.0,5.0,7.0,a,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,9.0,0.0,,1.0,5.0,7.0,b,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,9.0,0.0,,1.0,5.0,7.0,c,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,9.0,0.0,,1.0,5.0,9.0,a,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,9.0,0.0,,1.0,5.0,9.0,b,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,9.0,0.0,,1.0,5.0,9.0,c,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,3.0,1.0,3.0,0.0,,,a,3.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,1.0,1.0,3.0,0.0,,,b,3.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,1.0,1.0,3.0,0.0,,,c,3.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,1.0,1.0,3.0,0.0,,,a,4.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,3.0,1.0,3.0,0.0,,,b,4.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P5,1.0,1.0,3.0,0.0,,,c,4.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P6,5.0,1.0,5.0,1.0,9.0,5.0,a,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P6,5.0,1.0,5.0,1.0,9.0,5.0,b,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P6,5.0,1.0,5.0,1.0,9.0,5.0,c,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P7,3.0,1.0,3.0,0.0,,,a,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P7,1.0,1.0,3.0,0.0,,,b,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P7,1.0,1.0,3.0,0.0,,,c,1.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P7,5.0,1.0,5.0,1.0,5.0,5.0,a,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P7,5.0,1.0,5.0,1.0,5.0,5.0,b,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P7,5.0,1.0,5.0,1.0,5.0,5.0,c,2.0,Exp21DM13_inoc2_saisie,6dpi
Exp21DM13-Inoc2-P7,1.0,1.0,3.0,0.0,,,a,3.0,Exp21DM13_inoc2_saisie,6dpi
