sporulation;oiv;densite_sporulation;experiment;ligne;image_name;surface_necrosee;colonne;sheet;necrose;taille_necrose
1.0;3.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P01;;1.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P01;;1.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P01;;1.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P01;;2.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P01;;2.0;4dpi;0.0;
1.0;3.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P01;;2.0;4dpi;0.0;
1.0;7.0;7.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P01;;3.0;4dpi;0.0;
1.0;7.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P01;;3.0;4dpi;0.0;
1.0;7.0;7.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P01;;3.0;4dpi;0.0;
0.0;9.0;;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P01;7.0;4.0;4dpi;1.0;7.0
0.0;9.0;;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P01;7.0;4.0;4dpi;1.0;7.0
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P01;7.0;4.0;4dpi;1.0;7.0
0.0;9.0;;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P02;9.0;1.0;4dpi;1.0;9.0
0.0;9.0;;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P02;9.0;1.0;4dpi;1.0;9.0
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P02;9.0;1.0;4dpi;1.0;9.0
0.0;9.0;;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P02;5.0;2.0;4dpi;1.0;7.0
0.0;9.0;;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P02;5.0;2.0;4dpi;1.0;7.0
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P02;5.0;2.0;4dpi;1.0;7.0
1.0;7.0;7.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P02;7.0;3.0;4dpi;1.0;5.0
1.0;7.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P02;7.0;3.0;4dpi;1.0;5.0
1.0;7.0;7.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P02;7.0;3.0;4dpi;1.0;5.0
1.0;5.0;7.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P03;9.0;1.0;4dpi;1.0;5.0
1.0;5.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P03;9.0;1.0;4dpi;1.0;5.0
1.0;5.0;7.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P03;9.0;1.0;4dpi;1.0;5.0
1.0;3.0;3.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P03;;2.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P03;;2.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P03;;2.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P03;;3.0;4dpi;0.0;
1.0;5.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P03;;3.0;4dpi;0.0;
1.0;5.0;3.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P03;;3.0;4dpi;0.0;
1.0;5.0;7.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P03;9.0;4.0;4dpi;1.0;7.0
1.0;5.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P03;9.0;4.0;4dpi;1.0;7.0
1.0;5.0;7.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P03;9.0;4.0;4dpi;1.0;7.0
0.0;9.0;;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P04;9.0;1.0;4dpi;1.0;7.0
0.0;9.0;;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P04;9.0;1.0;4dpi;1.0;7.0
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P04;9.0;1.0;4dpi;1.0;9.0
0.0;9.0;;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P04;9.0;2.0;4dpi;1.0;9.0
0.0;9.0;;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P04;9.0;2.0;4dpi;1.0;9.0
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P04;9.0;2.0;4dpi;1.0;9.0
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P04;7.0;3.0;4dpi;1.0;7.0
1.0;7.0;9.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P04;7.0;3.0;4dpi;1.0;7.0
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P04;7.0;3.0;4dpi;1.0;7.0
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P05;7.0;1.0;4dpi;1.0;5.0
1.0;7.0;9.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P05;7.0;1.0;4dpi;1.0;5.0
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P05;7.0;1.0;4dpi;1.0;5.0
1.0;5.0;7.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P05;;2.0;4dpi;0.0;
1.0;5.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P05;;2.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P05;;2.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P05;;3.0;4dpi;0.0;
1.0;5.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P05;;3.0;4dpi;0.0;
1.0;3.0;3.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P05;;3.0;4dpi;0.0;
1.0;5.0;3.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P05;;4.0;4dpi;0.0;
1.0;5.0;3.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P05;;4.0;4dpi;0.0;
1.0;5.0;3.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P05;;4.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P06;;1.0;4dpi;0.0;
1.0;7.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P06;;1.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P06;;1.0;4dpi;0.0;
0.0;9.0;;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P06;9.0;2.0;4dpi;1.0;7.0
0.0;9.0;;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P06;9.0;2.0;4dpi;1.0;7.0
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P06;9.0;2.0;4dpi;1.0;7.0
0.0;9.0;;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P06;7.0;3.0;4dpi;1.0;9.0
0.0;9.0;;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P06;7.0;3.0;4dpi;1.0;9.0
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P06;7.0;3.0;4dpi;1.0;9.0
1.0;5.0;5.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P25;;1.0;4dpi;0.0;
1.0;5.0;7.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P25;3.0;1.0;4dpi;1.0;3.0
1.0;3.0;3.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P25;;1.0;4dpi;0.0;
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P25;;2.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P25;;2.0;4dpi;0.0;
1.0;5.0;7.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P25;5.0;2.0;4dpi;1.0;1.0
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P25;5.0;3.0;4dpi;1.0;5.0
1.0;5.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P25;5.0;3.0;4dpi;1.0;3.0
0.0;9.0;;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P25;9.0;3.0;4dpi;1.0;9.0
1.0;7.0;9.0;Exp18DM05_saisie;a;Exp18DM05_inoc1_T4_P25;9.0;4.0;4dpi;1.0;7.0
1.0;3.0;5.0;Exp18DM05_saisie;b;Exp18DM05_inoc1_T4_P25;;4.0;4dpi;0.0;
1.0;5.0;5.0;Exp18DM05_saisie;c;Exp18DM05_inoc1_T4_P25;;4.0;4dpi;0.0;
